0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
12865611.81,5839450.56,34269015.04,3437677.568,98884769.1,4011495.424,8421891.224,14477993526,36115452064,32156564731,19826173884,25948252.7,6205188.096,10253176.2,7918886.032,14655743090,13871101.67,13073966869,2447958.312,821664.6,6873837.568,27430794.24,4186092312,70546859.62,7429930.848,9968451028,13642940.26,9456392.192,9531872.256,5107930531,1430582.272,332910.448,24838627.33,4759925.76,2029611.008,4882881.536,1240763198,11407165.41,11397763.16,11408411.58,11479559.17,11434724.64,11404474.1,11462759.87,11391497.47,11422984.27,1929074.912,11411741.86,11389145.49,11360520.54,11400567.15,3003778637,5535773.696,399720748.6,1738397236,1238227.64,22604665.95,96353994.02,2349043.664,428604586,5302106.112,1931612.624,78435.824,1483102.208,20246768.64,0,62478,62166,57814282.24,1251891.2,25938,407243.776,407260.16,333358.08,333407.232,407283.712,407185.408,407265.28,333524.992,333427.712,4230882.304,1470714138,15799068.67,8874889.008,638766.384,57494360.77,1623730167,1120465.92,6927246.336,122840.224,205381.632,2373026.304,1305407.488,23256442.88,810580.992,359219566.6,49082.304,261886.24,5876220.928,3300116.576
13076176.78,5880762.16,34437843.97,3437606.912,65944133.98,4068322.304,7294689.344,15811603601,36104659010,32197559314,18337465380,8365564.392,4988881.92,15941285.44,7986102.304,16098073007,12702116.48,13990414294,3379062.584,695746.88,3712022.704,45158032.38,4031947868,69643137.12,4492644.008,9948196724,23837789.18,9671294.976,9646431.232,5176100159,728392.704,224329.024,24843493.38,4809490.432,2028398.416,4951711.744,1708841930,11480306.69,11405472.18,11289877.5,11384749.06,11345793.79,11362414.77,11372755.71,11383340.03,11499636.74,2393002.192,11424727.94,11420949.89,11467812.42,11421334.34,3066285882,4572116.528,350980204.5,1192147690,1180123.008,16654864.6,44823512.26,2351028.4,441021735.9,9231519.624,2988458.928,48683.808,1483162.624,20237847.55,0,66690,67236,19515019.26,399460.352,26070,383802.368,383754.24,309842.944,304078.848,369025.024,383741.952,371991.552,295162.88,315800.576,3598320.64,1300238128,32396402.69,6711719.24,863221.256,61836937.22,1143748952,2438891.672,6991466.496,175061.056,410894.336,2350962.152,2075627.52,24742210.56,809271.296,343413915.6,51776.256,257210.352,3501599.744,3729686.864
12817256.05,5424865.76,34485236.74,3437975.552,61332507.33,4102760.448,6296885.344,15279557582,35639598776,32585402020,17658150341,6813821.952,4112832.512,10516877.7,8040740.48,15548998239,11182047.17,14110325074,3548541.504,708184.296,3645761.536,33374319.62,3850256780,69829312.51,2778079.152,9951666045,17001432.16,9884419.072,9618012.16,5129410404,315552.768,218438.96,24841602.05,4802631.68,2034003.488,5002190.848,1726407428,11348427.19,11268761.46,11323277.31,11343027.2,11203795.2,11276535.81,11316620.67,11298421.25,11284052.22,1968683.656,11322958.98,11300642.3,11361636.32,11221322.9,2747451754,7980843.008,301581093.9,1542139016,1108792.736,21472635.9,43531579.08,2352463.2,411676767.2,5869129.36,3020820.68,42498,1483240.624,20247657.47,0,67158,67080,12198112.26,187804.672,26004,545413.12,545360.896,471692.288,471746.56,542311.424,545332.224,545469.44,468731.904,471723.008,3423405.056,1352069116,16868640.77,2928738.928,870772.936,62287946.75,1472786858,2006173.696,6899613.696,194095.984,362078.208,2672797.664,1346044.928,27696526.34,810570.752,363350082.6,56707.856,218665.656,5607849.984,8503207.936
12805403.58,5405135.76,34380545.02,3437314.048,61117973.78,4113475.584,6557713.928,16304517872,35561013248,34299916138,18159312940,7772879.872,3396664.32,17749922.96,7947874.24,16502591444,11226448.1,13095759475,2911552.776,717579.824,3960708.096,30290647.04,3900809381,69339858.3,998477.328,9949512857,13622929.95,9884418.048,10094797.82,5056585463,717828.096,218376.96,24847789.06,4802518.016,2032913.408,4970503.168,2197580552,11380500.61,11302925.31,11366526.46,11387368.45,11305568.26,11497906.18,11332113.66,11402688.52,11420920.96,1911551.464,11317263.37,11332050.94,11345542.14,11350643.71,3258542145,149456.896,312031597.6,1329061211,1136861.008,23189661.7,28553710.54,2352136,420450484.2,7546230.456,3736227.84,42980,1483162.624,20208365.57,0,66924,66534,15431367.68,88183.808,26136,545222.656,545332.224,471646.208,471650.304,545476.608,545252.352,545426.432,471687.168,471557.12,3397614.592,1552891004,14260361.22,854212.624,840943.04,61848305.76,1276189344,12416,6963096.576,108687.664,288493.568,2351936.792,29480512.51,27896998.91,795804.672,369541893.1,46000.36,164415.536,2802812.928,1178019.008
12683332.8,5297322.96,34478998.53,3436573.696,67874933.64,4096172.032,6434949.632,15931096358,35707444789,36195406043,17815199937,11934484.48,3462266.88,18410198.84,7967955.568,16008775424,11146771.74,13727046483,2768911.984,733543.12,3500994.56,29877565.44,3884038054,69737479.61,2259894.672,9924950370,11411622.05,9805902.848,9857776.64,5102434026,90683.392,218376.96,24841295.87,4809250.816,2029929.472,5007986.192,1506317921,11489873.92,11383620.61,11439970.3,11546330.11,11391542.29,11373564.87,11343089.66,11468749.82,11410879.68,1971975.84,11416561.7,11410681.62,11356166.5,11340357.63,3004033873,639379.456,316754947.1,1804392717,1116814.2,23280749.57,21029997.02,2402363.92,406264096.8,2870481.168,4002799.152,43120,1483223.04,20212433.92,0,66612,67158,25196362.75,75943.936,26070,545802.88,545687.36,471556.096,471599.104,545469.248,546000.512,545975.936,471635.968,471590.912,3338499.072,811892658.2,14248591.36,4168318.504,872039.528,60229389.31,1701379572,2483749.888,6811800.576,330095.92,386781.184,2355920.28,1903773.696,27356589.62,805260.288,406734536.7,50105.344,212631.552,3526339.584,13265163.05
12807850.98,5354973.36,34613626.88,3436790.784,52589252.34,4064580.608,6343295.832,15518415553,36342856741,37403273325,19720289905,26886284.85,5268748.288,21151792.35,7861969.12,15560585719,11032949.18,14383879445,2527799.344,737847.152,5865915.952,29703881.26,3831435378,69502640.34,1878472.4,9846165201,11770043.02,9773784.064,9584262.144,6146972688,146383.872,218376.96,24843354.11,4746089.472,2062833.76,5005993.984,1262621356,11364426.52,11355289.34,11348466.69,11288301.57,11373404.16,11368052.61,11278841.98,11337602.34,11313368.06,3375679.144,11364318.21,11334051.1,11352264.7,11183070.51,3197281791,1544389.632,302447993.9,1461511233,1120659.592,28263562.5,14002679.97,2352703.616,445071819.8,3723280.656,3557236.52,42560,1483223.04,20246837.25,0,67236,67002,58686441.47,389354.496,25938,545489.92,545308.672,471715.84,471533.568,545215.488,545428.48,545484.8,471463.936,471681.024,3722870.784,497102788.6,14490433.54,7098309.256,735052.592,57833171.97,1355902077,14657.536,6795571.2,264223.488,458951.68,2340719.032,1751966.72,26474008.58,810580.992,274855565.3,44471.384,156728.112,5069279.232,3717746.792
12905171.1,5317962.96,34547468.29,3437162.496,60232381.27,4067536.896,6469472.032,15002517628,36909498761,38407864236,19662620710,50620013.57,20823066.62,36727595,7967385.376,15360848752,10832437.14,12217353454,2280702.68,715106.784,3647929.344,23264674.82,3993031949,70898492.69,1788959.208,9872435229,14840665.94,9114511.36,9324082.176,6612211391,136089.6,218376.96,24843546.62,4681841.664,2063447.136,5006090.24,1175720698,11432842.24,11459849.22,11469184.48,11477226.5,11345325.06,11423740.93,11421048.3,11433211.8,11466616.83,3716892.64,11346880.4,11383355.39,11434662.02,11468322.82,3259421844,9524372.48,309165348.9,1697470602,1108439.992,28172750.1,42327560.63,2354158.4,442353772.5,2475665.4,1781100.544,42502,1483102.208,20208629.76,0,66924,66534,120927512.6,645064.704,25938,545552.384,545449.984,471655.424,471745.536,545380.352,545545.216,545373.184,471623.68,471788.544,3802090.496,538252771.3,15962914.82,19285849.07,431780.752,48554255.03,1644066505,1083485.184,6786276.352,165631.136,561145.856,2366905.624,1825260.544,22623598.59,809622.528,319559380,44270.232,66372.88,20259907.58,1219214.744
13002339.88,5185020.16,34625382.4,3438117.888,103573383.9,4007788.544,6423985.304,15369924737,36975177368,37499633397,18365903870,110409235.7,67298922.5,27417072.77,8021414.616,15993719446,10985203.42,13743510055,2471028.352,714136.784,3587774.464,28897076.78,4175797413,71561870.34,4867621.352,9888030220,24191434.02,8483733.504,8619004.928,6602443300,460268.544,218376.96,24842983.42,4688451.584,2088559.344,5034405.664,1167617340,11421942.6,11318847.26,11364563.73,11316132.75,11294440.45,11335032.83,11357022.21,11339066.62,11321411.85,4014980,11289298.75,11347748.45,11387294.72,11323484.43,3132112841,26039133.22,315628728.5,1297212120,1154413.16,22665096.27,118571127.9,2348721.28,451053811.7,2758068.376,488081.408,42700,1482982.4,20208023.55,0,66612,67236,258319559.7,2254292.992,26202,545341.44,545433.6,471695.36,471651.328,545281.024,545355.776,545310.72,471603.2,471489.536,5335408.64,544350743.6,26681783.3,49587853.52,573733.04,26972836.4,1214321263,2166420.48,6712600.576,217025.632,587366.4,2355866.032,2742182.912,19049246.72,809690.112,170439963.6,52017.184,72893.624,113555376.1,2067925.592
12907074.43,5373918.56,34505839.22,3436055.552,112686315.4,4031566.848,6411970.776,13250563663,37519349514,36994889426,19969797231,637071461.4,128573415.4,21531162.48,7981367.288,14240672202,10969511.66,13693382377,2486980.008,726786.16,7244887.92,73932857.34,5059242767,72512746.14,13915750.34,9687283276,144434427.1,6362800.128,6382699.52,6781908474,2283893.76,223839.456,24805090.3,3387999.232,2028403.712,5050718.208,1292773119,11478610.72,11368381.29,11304558.59,11438096.65,11308609.7,11360515.26,11445509.91,11503421.34,11383391.23,3402284.48,11337800.19,11331735.22,11389784.17,11391560.35,3451542510,93983415.3,278860168.4,1456540628,1122649.464,53554276.35,211595228.2,2352981.168,432886351.9,11794159.38,174645.248,42840,1482413.056,20264592.38,0,67236,66768,1442123350,5336717.312,25938,542197.76,542260.224,469107.712,469221.376,536075.264,542238.72,542141.44,463033.344,469053.44,7134534.656,863958095.9,111806501.9,104602631.6,433746.208,3245611.008,1341148167,15436357.63,6553639.936,115917.68,381788.16,2349122.176,1629158.4,6689913.856,655395.84,75887945.73,42861.16,68045.032,177112359.9,4116779.008
12839713.3,5373671.36,34420708.35,3437831.168,205172340.2,4076764.16,7515795.032,11827136057,37666952315,36737028742,19520408397,1478517927,97050818.56,162272915.8,7868706.416,13671801166,11493878.06,15058675962,2515598.776,862033.128,5898161.072,47747977.22,6795940043,75464761.98,38629487.99,9746129649,476780770.3,4101704.704,4338357.248,7018532304,9196693.504,5674444.656,24847436.8,314783.744,450196296.8,5076257.792,1340107522,11527473.42,11494496.26,11544754.18,11503291.39,11490751.87,11418649.02,11345327.1,11426412.54,11390988.29,1664418.032,11445583.87,11462107.14,11450907.9,11431354.37,3340146955,87718318.08,126817144.4,1505682014,1133084.624,84588518.4,81000000.88,2353935.088,418291297.3,100613867.5,0,105831.856,1483042.816,20213948.42,0,66690,66066,5181299229,9558321.152,26268,545451.008,545297.408,471546.88,459524.096,486038.528,545270.784,497952.768,394357.76,471759.872,13292703.74,1251571314,99098468.35,114631663.6,436043.304,1022780.592,1468755083,149569835,6329248.768,121885.312,58736.64,2615150.024,820341.76,1407005.696,474439033.9,52412223.49,44732.84,13996036.4,24879119.36,2924761.088
12650490.52,5259665.36,34208792.58,3437390.848,314894894.6,4058504.192,6921613.744,11640710237,36908161827,38314966494,19955901888,1065655479,67337558.02,269462297.6,7982498.288,13313073886,10864925.25,15525553357,2457569.632,918152.728,3932167.648,42495925.25,13373707163,74202020.69,56694158,9933262467,1084764587,3896281.088,3603236.864,6777723511,9307063.296,461700.448,24843906.05,3486779.392,10521982.98,5089564.672,1304036934,11437644.98,11520673.07,11543219.58,11510650.88,11548645.63,11534907.14,11622770.26,11525461.12,11590674.24,3769125.48,11571016.2,11571798.65,11601664.23,11522112.64,3279497612,54720147.7,106132082.7,1638484121,1126611.048,96208107.52,70775978.4,2359178.368,402731979.8,99182275.62,12746.752,45942.864,1483043.376,20223781.89,0,66846,67236,4586297360,17193616.38,25938,536115.2,542407.68,459531.264,424190.976,533644.288,545204.224,504220.672,451108.864,471548.928,17470615.55,1354128419,14225617.92,78439720.11,449259.84,736207.352,1541854586,133009085.4,6422973.44,165943.584,479682.56,2375907.392,1564884.992,862584.368,6976220.16,80183558.14,43979.456,21818832.71,5060378.624,6462811.888
12329236.27,5286600.112,34149204.99,3430746.112,526819554.3,4148804.608,7108252.376,12056981589,37130175837,39787748090,16826574320,758634851.5,54630350.85,181197979.9,7901553.6,13067494377,10929127.05,14820671381,2609712.472,849116.744,3888560.992,51812514.91,7822296077,74386889.59,42428844.58,9837214894,600248180.7,5208307.712,4795761.664,6546871969,3481065.472,216550.544,24786708.48,4175105.024,10842041.34,5083189.248,1245112480,11566428.74,11451012.1,11578616.96,11663855.74,11637998.97,11491228.03,11619844.86,11535963.14,11589848.32,3709249.856,11520409.6,11517741.28,11503311.23,11598992.16,3000911440,20998989.82,101562590.2,1345322479,1124550.632,82729775.2,85799106.07,2349637.04,368374207,72545899.82,111831.6,42342,1479216.128,20198024.19,0,67158,65598,2513840374,15319660.54,25608,536156.16,530200.576,456456.192,465234.944,545045.504,521324.544,541955.072,471147.52,430164.992,20870388.74,1478392695,12201656.32,66081879.6,412955.456,864103.712,1279292986,162698706.9,6656491.52,153396.128,566963.2,8818087.952,1725403.136,2964907.008,5380209.664,129151712.3,44238.936,1667722.064,9356247.04,15800656.9
12678920.58,5360261.76,34302971.9,3436509.184,261234243.4,4023415.808,7254319.328,13210358613,35287176655,38384753507,18073233222,391467986.9,46331929.6,120658641.3,7953665.256,14260421914,10930702.18,18388096875,2431889.032,819454.656,3846469.552,57284259.84,5266719017,74469366.54,54213185.62,9576433953,351158537.8,6204514.304,6038452.224,6786251012,3155933.184,220197.792,24811836.42,4323804.16,7430174.816,5095801.44,1396747495,11444929.03,11468158.46,11373463.55,11469849.6,11511748.61,11418761.74,11481810.96,11510117.63,11437516.24,3810652.088,11453536.53,11493812.47,11514097.46,11446876.16,2941951009,33196390.96,112531076.8,1468402847,1119539.248,82617914.08,115378324.9,2359004.24,363050240,73812482.56,204189.696,42000,1482979.888,20224146.43,0,66612,66612,962694479.9,14905609.22,26136,545253.376,542401.536,465622.016,468692.992,545467.392,530760.704,545525.76,471810.048,418609.152,14738345.98,1523207179,15900797.95,75886967.59,483777.608,692323.328,1318471074,118825710.6,6635665.408,164805.632,582504.448,2354233.608,2180658.176,3821245.44,3711605.76,127844483.1,44837.504,106202.736,24450714.62,7250192.944
12536679.06,5326044.16,33887527.18,3437464.576,299028530.5,4223332.352,6816756.776,12793343883,36508605228,39146540091,18082511923,715827152.4,56973788.16,174945147.2,8032841.008,13674558515,10879672.33,15434760886,2266057.336,895673.784,4734062.928,42721136.64,5606023272,73794071.66,47684825.58,10086479853,414893773.8,5887493.12,5730540.544,6518934978,5609438.208,1038012.064,24817897.47,3786566.656,6919541.76,5060529.152,1315759692,11478699.4,11466798.69,11493572.61,11459762.6,11465988.46,11417696.79,11439460.12,11466006.16,11446461.45,3301275.232,11482576.72,11380862.85,11407662.35,11435927.42,2772130959,65081891.84,168189410.3,1590389849,1168384.2,70758863.87,73621452.98,2351684.16,364513994.8,93297217.22,186035.76,42544,1483164.208,20224317.44,0,66378,66066,1944949096,15219763.2,26004,530629.632,507169.792,442220.544,462644.224,545466.368,480707.584,539625.472,471668.736,377558.016,14417708.03,1311878519,22250983.42,82227428.35,363321.832,1557009.408,1440754963,137747369.8,6687816.704,110896.928,513847.296,2388201.056,1527753.728,2372759.552,5170524.16,134877868,44812.416,126389.888,42160316.42,7304569.856
12626565.91,5276267.76,33885483.74,3437978.624,368145584.3,4015396.864,7525478.176,11703196573,37203526628,39689661818,19257442939,1143897364,61816737.79,214883416.3,8009838.048,12863906987,10868285.46,15235789181,2517644.816,913850.4,220239729.4,26422667.26,6832381933,73598201.57,64930034.15,9804077945,808632022.8,4558144.512,4477334.528,6613281023,5531331.584,218376.96,24792615.94,1455373.312,9130979.328,5064685.568,1461181442,11679619.31,11659059.5,11639496.32,11711104.42,11584234.74,11695085.71,11678220.21,11715277.68,11594748.58,2901831.28,11704761.85,11643040.49,11626018.65,11626643.58,3521318752,60443862.5,204348730.4,1541080506,1149849.08,87115757.57,53134076.9,2352952.048,391459194.4,99974203.39,13158.4,42840,1483223.04,20238540.8,0,67158,66924,4242386452,10265546.75,26136,545299.456,545255.424,471602.176,471682.048,545512.448,545313.792,545629.184,471678.976,471609.344,21720423.42,1648929896,21549954.05,66547510.83,441928.432,1290106.88,1459074630,232626023.4,6599764.992,115575.328,176209.92,25741373.07,1252961.28,1658245.12,4192038.912,89565184,57997.048,2236890.296,11995929.6,35689741.49
12421523.74,5296709.36,33860326,3437171.712,489975769.7,4201112.576,7413750.056,11869981249,35321879200,35239807581,18968361274,1011122143,59406465.02,163168941.7,7957305.104,12690344425,10651666.45,15128440150,2483263.736,863099.768,72144155.62,35481377.79,6753395105,74048203.38,47204951.62,9599091293,659926929.1,4338503.68,3950745.6,6894003641,3433839.616,25326422.72,24788592.64,2063420.416,1635171413,5038060.544,1524047774,11551155.08,11614393.22,11624476.46,11634154.02,11624718.72,11606296.98,11601885.22,11595329.14,11618177.42,3495953.8,11509387.83,11573928.93,11570798.15,11525671.54,2901017703,69996526.59,169384675.3,1122763357,1149830.648,105175067.4,20370229.42,2396645.504,417514041.6,78010755.18,8128.512,42840,1482920.96,20218790.91,0,66534,66612,3986825413,5847367.68,26070,545458.176,545315.84,471553.024,471575.552,545463.296,545731.584,545141.76,471518.208,471599.104,16835262.46,1493724737,23126244.35,59138372.61,384386.912,691786.896,1031562680,165791840.3,6269874.176,162261.92,234946.56,2349144.768,1328569.344,1054005.248,1647583384,120827729.9,44989.328,222429.72,17451219.97,8179625.984
12616233.51,5383725.616,35716511.58,3431631.312,377336343.5,4064868.352,7555392.792,11457798772,35297873101,35111372304,22620250474,1005605741,57406530.56,348963029.1,7951249.08,12890754935,10679726.38,13990518867,2488424.968,902592.624,4456099.04,39267400.7,6735598883,75027608.39,53906661.09,10223625603,260858503.2,4659377.152,4609647.616,6591221458,2186786.816,347950.512,24746651.65,3727537.152,2653748524,5019250.688,1511500750,11570498.72,11637685.95,11617616,11648793.94,11644716.65,11583219.1,11650776.17,11695157.43,11661872.9,3656541.544,11595363.46,11644422.67,11633631.96,11669499.96,3067745785,81346919.42,151544630.8,1824262726,1121966.416,84542856.19,60214897.79,2360978.512,387084069.9,68601483.21,23995.232,433369.744,1479982.08,20210819.07,0,67080,67002,3295967969,8960774.144,25872,544924.672,545180.672,471140.352,471246.848,541970.432,545241.088,542131.2,468174.848,471025.664,27578413.06,1701904646,25213633.54,49986221.94,416167.072,691613.296,1715814269,154838454.8,6410230.784,156474.496,538550.272,2748393.232,1849900.032,2669595.744,2738377053,65855101.95,45086.04,1947127.32,13271749.63,64871578.62
12558028.42,5488979.36,36804457.14,3437901.824,237631171.3,4592736.256,7166609.264,11672082304,35041359954,34082328219,19545713693,488808882.2,75810212.86,142349992.8,7936654.592,13244622821,10844402.84,15892369481,2340567.92,779031.24,9819470.848,37654255.62,5672983572,73056934.8,461401383.5,9696283122,215883437.7,4844966.912,5399601.152,6202297177,3235073.024,221108.208,24846787.58,4498626.56,1526317207,4979215.936,1380092893,11631848.06,11564845.01,11596554.95,11567252.19,11587168.91,11536228.64,11615651.6,11575385.94,11623917.94,4108969.632,11572939.42,11623991.42,11569769.62,11458025.82,2558193049,83121460.74,159834804.2,1265326719,1119840.024,112745740,108103731.7,2358505.104,359643777,61232040.96,41181.184,43260,1483041.792,20208601.09,0,67002,66846,1342198252,6009668.608,25938,545515.52,545188.864,471645.184,471733.248,545269.76,545187.84,545448.96,471706.624,471477.248,14750799.87,1371824373,21444773.89,42422446.08,469643.328,1012028.416,1266018607,327705561.1,6822193.152,97597.632,577642.496,2594794.128,1457378.304,5380371.456,1495016199,123060879.4,46135.36,12496042.49,54441132.03,4572203.968
12726220.67,5334606.16,34860505.56,3437095.936,177400612.7,4073033.728,6881994.904,14062283299,35090122932,34943399586,22619132749,498070022.1,82129790.98,33752971.02,8015888.04,15510280528,10577022.44,14897622642,2181928.936,745459.696,8910560.192,26819169.46,5139445877,72901896.54,34711870.06,9921861552,53543019.52,5894159.36,5941593.088,6959924036,4032318.464,642660.832,24803353.6,7888115.712,1401478770,5046807.824,195235536.9,11631959.56,11565266.11,11623010.45,11648293.64,11640778.18,11604462.71,11617678.06,11675096.9,11670811.27,3427485.208,11611758.43,11540004.58,11665055.74,11620400.58,3385971288,93218324.74,125258046.5,1637371923,1141161.416,76523818.21,83107935.65,2358838.176,361351040.2,19797878.78,31423.488,48300.112,1483102.208,20210059.26,0,66846,66690,1040064709,5652450.304,26202,545338.368,545519.616,471755.776,471709.696,545209.344,545472.512,545449.984,471632.896,471687.168,8660759.552,1636652948,20438320.13,53268428.58,377822.08,957952,1601438745,35561642.13,6467917.824,123124.224,225157.12,2357686.032,1566290.944,4001599.488,1372528465,98637236.22,44478.848,113851.728,71443570.69,1520282.624
12645448.49,5406461.76,33658146.39,3436135.424,142046802.1,4224112.64,6761205.512,13223296180,34283220632,34662603444,16318142273,552395770.9,60046794.75,30550971.22,8037487.36,14551501031,10575873.21,12823409910,2206906.552,768335.048,7730076.08,16378782.26,5000314012,73952041.82,30079466.61,9788225226,48831792.22,5163761.664,5109151.744,6208438139,3914117.12,218376.96,24806105.09,4408629.248,1238787863,4974563.328,887144.448,11668325.45,11568299.69,11725598.06,11618258.74,11553285.65,11677588.74,11653819.78,11669229.25,11689902.08,4246147.384,11645820.57,11667270.78,11611096.14,11551264.7,2812937101,181251191.3,140901785.6,1486382803,1127060.208,88095766.46,148214967.3,2395850.928,361521157.1,27811573.76,14288.992,43198,1483162.624,20233672.7,0,66924,67236,1099002020,4955752.448,25938,545433.6,545455.104,471535.616,471578.624,545399.808,542561.28,545404.928,471588.864,465768.448,7750376.448,1334966177,17435213.82,60154895.36,418442.68,1576627.2,1349287631,26365178.88,6608835.584,219930.512,543215.616,2360410.624,4391624.704,3045249.024,1372852348,228294251.5,44013.824,95940.864,35706044.42,13185643.52
12710002.42,5388611.36,36024627.67,3437685.76,108352585.3,4039506.944,6867352.432,13090578482,35453247947,33939190830,18009237877,318719190,41427965.95,73740805.38,7985181.392,14823641391,10600721.43,13302601838,2202773.872,769297.8,9278143.808,20720428.03,5077508563,74815849.39,23093653.86,8089883038,57107165.18,6492225.536,6567705.6,6758365503,5554368.512,220197.792,24801406.98,4307140.608,1378441877,4961675.264,7122718.72,11670223.13,11554812.92,11624161.94,11554615.54,11657387.62,11546123.97,11592959.4,11662776.1,11566886.8,4071467.648,11599236.06,11586563.59,11482183.65,11424069,3260193077,130052403.7,143802191.8,1620408703,1121817.568,97500423.89,119444891.1,2358304.72,383510707.2,28158914.86,173059.168,42420,1483102.208,20214899.71,0,67080,65988,692571865.1,5636240.384,26202,542418.944,542589.952,468581.376,471560.192,545467.392,542564.352,545330.176,471667.712,468634.624,10015971.33,1538259715,23771817.98,44542611.7,422638.84,8195073.024,1553104634,49213739.01,6619179.008,158067.52,460234.752,2353505.696,1735821.312,7672677.376,1372822144,147556234.2,43245.288,150144.352,33581527.09,10524774.7
12578266.71,5406971.76,33615155.67,3437757.44,131828440.2,4192710.656,6930828.848,12883231861,34592860930,35481528150,18706778201,233253703.2,27204964.35,22764749.57,7951115.712,14320255437,10583534.72,14016140360,2209287.136,765535.792,7108421.232,23716056.06,4453734128,73754002.5,31782970.3,9855557341,76407854.05,5404413.952,5534503.936,7274684818,13718259.71,1001378.848,24810886.14,4533985.28,1098006970,4954445.824,888475.648,11518599.44,11563554.77,11575848.3,11556104.19,11552112.64,11585453.79,11567935.54,11556617.1,11516923.7,3996738.632,11476372.24,11512895.23,11452826.8,11478844.75,2875165633,48319769.6,143166526,1600842529,1125489.296,245537948.6,168723879.7,2361556.448,374202199,13554632.82,287539.2,53970.192,1483041.792,20237017.09,0,66690,66846,448410943.5,4502990.848,26004,545588.224,545210.368,471742.464,471621.632,545558.528,545544.192,545454.08,471547.904,471556.096,6819789.824,1276336206,25368841.22,43426063.34,389601.896,18104875.01,1573717541,11829346.3,6587475.968,134288.992,548208.64,2387615.168,1612944.384,10293396.48,1143135573,203466293.2,47495.696,154527.808,23784008.7,3044921.136
12873790.74,5418191.76,33820062.71,3437534.208,118910860.2,4058822.656,6593486.144,13557687540,34778876215,35370039158,19140692083,176817135.1,18658013.18,79528918.82,7990233.16,14915676781,10537376.83,13040093374,2321238.344,751878.336,7584509.952,20788645.89,3854439131,73767065.28,27488486.01,9601626674,63729876.14,6067760.128,6175207.424,6726594567,23117388.8,218376.96,24821268.48,4660895.744,4126265.824,4965201.36,887998.464,11538477.03,11485325.2,11558178.95,11486277.77,11404710.59,11457635.72,11472863.66,11442206.5,11510461.34,4085005.68,11465393.41,11436283.14,11395068.93,11489348.54,2877872754,40346643.46,131324530.9,1700738497,1114978.16,407052808.2,156400547,2360941.024,358583806,63989831.68,260010.16,42700,1483103.792,20393511.94,0,67002,67236,308610596.9,3347060.736,25872,545368.064,545403.904,471489.536,471692.288,545286.144,545563.648,545403.904,471668.736,471744.512,6619765.76,1454908939,20847763.46,43194264.5,445152.24,34914158.59,1548982682,19347500.02,6739229.696,119813.056,548143.104,2364843.216,1916204.032,14848337.92,1492160.512,195522207.7,45764.8,98198.728,26667832.32,3220596.736
12705148.26,5346845.76,33649507.52,3437604.864,96196758.44,4215507.968,6439584.976,14320285735,35814838895,35438633247,19967346670,94058599.65,8029172.736,65799053.36,7938861.84,15742537301,10603120.82,13647614626,2253188.096,702721.312,10464981.55,20827363.33,3662483426,71679434.9,15193668.3,8905209050,36466870.27,7815058.432,7709685.76,7336260789,27095157.76,218438.96,24825968.64,4710248.448,4117312.144,5035452.416,887470.08,11549682.2,11565615.26,11491324.04,11446534.27,11452665.6,11432009.46,11529679.9,11474495.49,11525820.92,3937185.672,11408967.38,11442742.38,11431866.24,11362435.57,3324495390,14789518.43,98891939.38,1960798535,1109245.992,420115753.5,144389321.1,2363272.096,367499722.8,11580209.25,316897.84,42642,1483162.624,20207739.9,0,64116,64350,184001733.6,2843963.392,26136,545373.184,545483.776,471494.656,471632.896,545508.352,545508.352,545383.424,471617.536,471546.88,4399293.44,1636722287,16840418.3,29253228.93,434446.568,50985168.62,1935165882,7400423.424,6807624.704,161924.304,514043.904,2378310.8,8233567.232,18819612.67,1492160.512,125068516.4,44330.88,494381.912,7586190.336,2383734.832
