date,ip1,ip2,ip3,ip4,ip5
2024/4/8 0:00,6941.696,490257748,617921.536,355682070.5,669611.008
2024/4/8 1:00,0,164977003.5,187907.072,638111962.1,687586.304
2024/4/8 2:00,0,144097633.3,176169.984,750005495.8,705936.384
2024/4/8 3:00,0,166464096.3,42030.08,591426468.9,697324.544
2024/4/8 4:00,0,336078518.3,58940.416,333983476.7,694106.112
2024/4/8 5:00,0,626080265.2,195379.2,529590931.5,682216.448
2024/4/8 6:00,0,1081433174,324815.872,433317981.2,642657.28
2024/4/8 7:00,0,1929427026,1050417.152,602701712.4,600311.808
2024/4/8 8:00,0,9986503606,2729801.728,1198996189,444777.472
2024/4/8 9:00,0,32566219375,5949925.376,2870686468,274476.032
2024/4/8 10:00,948,30604756255,9210600.448,2321707723,267465.728
2024/4/8 11:00,0,17841473454,7766252.544,4734413774,349998.08
2024/4/8 12:00,0,6400060162,7429614.592,1014358870,424684.544
2024/4/8 13:00,0,13237121712,7731238.912,1861576826,407260.16
2024/4/8 14:00,0,27954785550,5241666.56,2831573207,310237.184
2024/4/8 15:00,0,25990892880,3230666.752,2470472025,294283.264
2024/4/8 16:00,0,20869877334,4326647.808,2237562940,318215.168
2024/4/8 17:00,0,9056958808,2975995.904,2016163623,331238.4
2024/4/8 18:00,1377.28,8132864508,2925405.184,867321326.6,410757.12
2024/4/8 19:00,0,9427587432,2460674.048,978319884.3,356438.016
2024/4/8 20:00,0,5557431828,2900896.768,1667208100,451779.584
2024/4/8 21:00,0,4084359758,2667703.296,1199728771,377993.216
2024/4/8 22:00,0,2505777873,1795039.232,942684700.3,425803.776
2024/4/8 23:00,0,1508075635,1609364.48,1263580027,550184.96
2024/4/9 0:00,16421.888,419220176.9,920658.944,514475619.3,604299.264
2024/4/9 1:00,0,263996006.4,164569.088,972443239.4,623472.64
2024/4/9 2:00,0,87031835.65,168508.416,1063807119,642237.44
2024/4/9 3:00,0,175777792,82276.352,1072936037,664079.36
2024/4/9 4:00,0,149692301.3,194583.552,389472940,692567.04
2024/4/9 5:00,0,496785514.5,126132.224,793008643.1,675280.896
2024/4/9 6:00,0,974523465.7,513589.248,839549456.4,629563.392
2024/4/9 7:00,0,2074948403,1288172.544,1147671907,508124.16
2024/4/9 8:00,0,9152653951,2872587.264,1997122508,366793.728
2024/4/9 9:00,0,26862106444,8547301.376,2689613782,215257.088
2024/4/9 10:00,0,21603116122,5630447.616,1739145838,198732.8
2024/4/9 11:00,0,12126106157,4081512.448,3116048354,238772.224
2024/4/9 12:00,0,8327466582,3999592.448,2067348726,286655.488
2024/4/9 13:00,0,15570943607,5152857.088,4622182124,226026.496
2024/4/9 14:00,948,26418940477,5263556.608,7627783165,234708.992
2024/4/9 15:00,0,24302624702,3490828.288,9801265877,177243.136
2024/4/9 16:00,0,22814611472,2844478.464,6837188980,181299.2
2024/4/9 17:00,0,9078577299,3493471.232,5241392604,216158.208
2024/4/9 18:00,0,10875826078,2927025.152,5646719626,256693.248
2024/4/9 19:00,0,9939552567,3022869.504,5685837817,312690.688
2024/4/9 20:00,0,6226075189,2786582.528,7020904785,380591.104
2024/4/9 21:00,0,4483692102,2467394.56,5241110819,403968
2024/4/9 22:00,0,2518819013,1934723.072,7197136104,307082.24
2024/4/9 23:00,0,1349584159,734581.76,6337595146,556008.448
2024/4/10 0:00,0,527161407.5,763303.936,5894498388,621455.36
2024/4/10 1:00,0,291876652,181065.728,5317059663,635457.536
2024/4/10 2:00,0,119573411.8,211793.92,5032045371,644334.592
2024/4/10 3:00,0,109227249.7,39526.4,5664969555,618644.48
2024/4/10 4:00,0,232834175,89165.824,8774331179,634747.904
2024/4/10 5:00,0,619834220.5,160023.552,9147731910,664147.968
2024/4/10 6:00,0,1660708556,484941.824,8321948212,591906.816
2024/4/10 7:00,0,2549459452,1203628.032,9744205079,476627.968
2024/4/10 8:00,0,10430014554,3050488.832,10563735491,400541.696
2024/4/10 9:00,0,27544408556,5608666.112,11471724802,203353.088
2024/4/10 10:00,948,25333675852,4721356.8,9706748552,214763.52
2024/4/10 11:00,0,12178612552,3697037.312,10261271068,294219.776
2024/4/10 12:00,0,6142528848,3251109.888,12317750755,309747.712
2024/4/10 13:00,0,12573426582,3267487.744,11614383172,222182.4
2024/4/10 14:00,0,24170136076,2435739.648,10509871962,216089.6
2024/4/10 15:00,0,23797370454,2411470.848,10789709918,186687.488
2024/4/10 16:00,2409.248,23869765190,3343327.232,10722086309,210699.264
2024/4/10 17:00,2711.552,11220757250,1680369.664,10123845755,224630.784
2024/4/10 18:00,1436.672,9027091169,2344649.728,11645742608,347198.464
2024/4/10 19:00,0,9165430850,2426907.648,10513109813,344113.152
2024/4/10 20:00,0,5362555027,2732364.8,5369369496,539494.4
2024/4/10 21:00,0,4153275318,1807693.824,3510593575,511696.896
2024/4/10 22:00,0,2121081553,1808351.232,2766315547,573293.568
2024/4/10 23:00,0,1502712839,1355949.056,1789296047,651413.504
2024/4/11 0:00,9270.272,653130812.4,810129.408,958946498.6,666742.784
2024/4/11 1:00,0,296956101.6,196080.64,618699422.7,690040.832
2024/4/11 2:00,0,253307580.4,53152.768,795749612.5,688502.784
2024/4/11 3:00,0,130335313.9,0,812574432.3,674296.832
2024/4/11 4:00,0,253717484.5,23921.664,513507576.8,701459.456
2024/4/11 5:00,0,653230022.7,106172.416,751748613.1,692627.456
2024/4/11 6:00,0,1493783760,272952.32,629222702.7,612692.992
2024/4/11 7:00,0,1933080265,1045667.84,768508013.6,457657.344
2024/4/11 8:00,0,10544914366,2292494.336,1446905284,363437.056
2024/4/11 9:00,0,28927089181,5043099.648,2697616756,199989.248
2024/4/11 10:00,0,24979975438,4380370.944,2758230672,232540.16
2024/4/11 11:00,0,15196256993,2339975.168,2471647349,261935.104
2024/4/11 12:00,0,8963420586,2620748.8,2181363773,351404.032
2024/4/11 13:00,0,12990034215,3368992.768,2230056159,308911.104
2024/4/11 14:00,0,23987521323,3598960.64,3139421647,188232.704
2024/4/11 15:00,2384.672,28882208031,2122249.216,5107095201,235060.224
2024/4/11 16:00,0,22521715884,2001622.016,8034281299,199362.56
2024/4/11 17:00,1377.28,13130285449,2169175.04,1626865684,196071.424
2024/4/11 18:00,0,9503906988,2035776.512,739692668.9,281329.664
2024/4/11 19:00,0,10454378217,3184415.744,1086145930,310862.848
2024/4/11 20:00,0,6675786367,2395063.296,1108375434,429863.936
2024/4/11 21:00,0,4809825452,1979820.032,1241747145,388355.072
2024/4/11 22:00,0,3321928614,1308515.328,790077715.5,477962.24
2024/4/11 23:00,0,1561422987,831560.704,737258385.4,541015.04
2024/4/12 0:00,0,530637818.9,649075.712,636076742.7,642868.224
2024/4/12 1:00,0,299588534.3,199523.328,498424031.2,614585.344
2024/4/12 2:00,0,117306023.9,55732.224,499664041,674637.824
2024/4/12 3:00,0,139346194.4,148328.448,644840224.8,649803.776
2024/4/12 4:00,0,354903512.1,54289.408,427824576.5,682834.944
2024/4/12 5:00,0,519640848.4,171247.616,487493206,665125.888
2024/4/12 6:00,0,1266491064,443058.176,613810030.6,563140.608
2024/4/12 7:00,0,1960583365,1308116.992,686594143.2,499858.432
2024/4/12 8:00,0,10429622387,3247967.232,1656695430,333405.184
2024/4/12 9:00,0,27700001505,6427410.432,2744975344,288542.72
2024/4/12 10:00,0,26613508997,5177384.96,1804518923,217070.592
2024/4/12 11:00,0,15105931608,4224673.792,2423589107,313748.48
2024/4/12 12:00,2937.856,6458591674,3408321.536,1306425245,337116.16
2024/4/12 13:00,0,11288103092,3508734.976,2783660872,325083.136
2024/4/12 14:00,983,29474934489,4309798.912,2866028898,214898.688
2024/4/12 15:00,948,25436713124,2711310.336,2780122784,242903.04
2024/4/12 16:00,0,21008676291,3054136.32,3583141815,266072.064
2024/4/12 17:00,1101.824,9395578601,1968070.656,2101316536,259132.416
2024/4/12 18:00,0,6532113629,2442595.328,476243933.2,307438.592
2024/4/12 19:00,0,5080405246,2679809.024,992387552.3,340686.848
2024/4/12 20:00,0,5028195598,2287735.808,1358056873,373100.544
2024/4/12 21:00,0,3895555260,2255816.704,1473673693,381717.504
2024/4/12 22:00,0,2591776834,1745286.144,552712416.3,449399.808
2024/4/12 23:00,0,1202438525,1394617.344,815647117.9,615431.168
